,Years,F275W,F475W,F814W
0,500000.0,-115.59403488216418,-116.2002940794802,-114.81255841915481
1,1000000.0,-115.6505339472902,-116.18609853631646,-114.83903793928258
2,1500000.0,-115.71282413535445,-116.14082523900184,-114.88891050574367
3,2000000.0,-115.80686657052871,-116.01791786392984,-114.92277647416759
4,2500000.0,-116.02526476657937,-115.81552551169536,-114.9172477452471
5,3000000.0,-116.21787499485413,-116.047097196378,-115.15468094051732
6,3500000.0,-115.9577826475286,-115.99685315617405,-114.9687528719164
7,4000000.0,-115.74443016929618,-115.52791447832716,-114.78019822186937
8,4500000.0,-115.50982205797794,-115.35895308981314,-115.02566487946501
9,5000000.0,-115.33461692226226,-115.30689928047975,-114.96542765862685
10,5500000.0,-115.15081706337241,-115.13893591230466,-115.01108713788122
11,6000000.0,-115.03619331055992,-115.25126350076415,-115.04735496484889
12,6500000.0,-114.8209092826109,-115.28876204184535,-115.20010464876299
13,7000000.0,-114.60691479708441,-115.09065546268836,-115.24133373454504
14,7500000.0,-114.49356360675,-114.8439923918093,-115.13102013787147
15,8000000.0,-114.39275905828936,-114.65483854175129,-114.9746786405153
16,8500000.0,-114.28521518139073,-114.4695921901638,-114.8058521914337
17,9000000.0,-114.18881183328955,-114.35891761807149,-114.6705723174706
18,9500000.0,-114.10177536935865,-114.28033625097576,-114.57936367707075
19,10000000.0,-114.02297445706176,-114.21091924215851,-114.49544090869952
20,10965000.0,-113.88815739561434,-114.09582144879927,-114.35920515605815
21,12023000.0,-113.72037966613058,-114.00056541799255,-114.2668714600643
22,14454000.0,-113.44464748483847,-113.491509477105,-113.98899751522467
23,17378000.0,-113.21501820000509,-113.23736857013417,-113.66837192619536
24,19055000.0,-113.1078414738113,-113.24585600526372,-113.62920057587507
25,20893000.0,-113.01017186882333,-113.27493399528258,-113.56487334626928
26,22909000.0,-112.91916685175076,-113.29893689851198,-113.44893962823897
27,25119000.0,-112.83614913993205,-113.29396758111731,-113.32778869865217
28,27542000.0,-112.76565438833481,-113.21345323838428,-113.22781139359671
29,30199000.0,-112.6814305709695,-113.1303878721827,-113.15690464442568
30,33113000.0,-112.56133382358018,-113.07343666631553,-113.10380568064747
31,36308000.0,-112.44106572231973,-113.01667228764083,-113.05271145929882
32,39810000.0,-112.31515513479985,-112.95660836933014,-113.0035276641625
33,43651000.0,-112.18846408310077,-112.89419041075554,-112.9445610489847
34,47863000.0,-112.0718154470587,-112.82842390598323,-112.85763278950395
35,52480000.0,-111.95384306642492,-112.74998849278555,-112.77393171760355
36,57544000.0,-111.83819138607822,-112.68245619240788,-112.70018574448056
37,63095000.0,-111.72645640325248,-112.61500360202442,-112.6268087490044
38,69183000.0,-111.61150784524108,-112.54560371574185,-112.55382972467743
39,75857000.0,-111.4990604111978,-112.47490000601233,-112.48112052806556
40,83176000.0,-111.38757670521343,-112.40414009331998,-112.41083315094366
41,91200000.0,-111.27422308931651,-112.33171389238473,-112.34177241408483
42,99999000.0,-111.15614919325083,-112.25812356299022,-112.28044328039019
43,109650000.0,-111.03218484506957,-112.18906471241,-112.21680314696403
44,120230000.0,-110.9059580159543,-112.11188470694869,-112.13818245047162
45,131820000.0,-110.77896460758035,-112.03489148452753,-112.05903379107573
46,144540000.0,-110.64725000976384,-111.95506201489697,-111.97801392028248
47,158490000.0,-110.5140596617008,-111.8698214238369,-111.89376966787509
48,173780000.0,-110.37756163147077,-111.77572583725001,-111.80576701875015
49,190540000.0,-110.23907879944619,-111.6816465672124,-111.71191864829967
50,208930000.0,-110.09821525780131,-111.61141658648334,-111.62992463694289
51,229090000.0,-109.95273654529174,-111.55150208970413,-111.55766961660643
52,251190000.0,-109.80399616224446,-111.4840888237201,-111.48199332096922
53,275420000.0,-109.64846853635066,-111.4132583478426,-111.40615743173237
54,301990000.0,-109.48911112920194,-111.3417000566645,-111.33102241287321
55,331130000.0,-109.32896388762077,-111.26464361485205,-111.25608569856882
56,363080000.0,-109.17303259340906,-111.18767836062081,-111.1865746216117
57,398100000.0,-109.01804390410507,-111.10789029635468,-111.12401327583356
58,436510000.0,-108.86217372072664,-111.02515797957831,-111.06641653146738
59,478630000.0,-108.69856485621952,-110.94105095887629,-111.01327901009904
60,524800000.0,-108.52957558183155,-110.85752783138815,-110.96311625854165
61,575440000.0,-108.35724536275336,-110.77158664708044,-110.91415851368711
62,630950000.0,-108.17958940977928,-110.69751505036515,-110.91854310584446
63,691830000.0,-107.99709412719412,-110.65131731347924,-111.02256617482564
64,758570000.0,-107.80948628068651,-110.64847507624114,-111.25796841676413
65,831760000.0,-107.6145651920863,-110.68797778123773,-111.60971027780198
66,912000000.0,-107.42430705527434,-110.71869518569041,-111.97321192652589
67,999990000.0,-107.24380229586276,-110.63903423318612,-112.24916388827702
